Instruction #,End time,Duration,Display image id,audio id,Operator text, State,Location
255,981,3,Offset 2,NA,Training 2 trial 7 throw 1,Add ,C7
256,981.5,0.5,Offset 2,Throw tone,Training 2 trial 7 throw 1,Add ,C7
257,984.5,3,Offset 2,NA,Training 2 trial 7 throw 2,Add ,C7
258,985,0.5,Offset 2,Throw tone,Training 2 trial 7 throw 2,Add ,C7
259,988,3,Offset 2,NA,Training 2 trial 7 throw 3,Add ,C7
260,988.5,0.5,Offset 2,Throw tone,Training 2 trial 7 throw 3,Add ,C7
261,1003.5,15,Collect darts,Collect darts,Collecting darts for Training trial 7,Save ,C7
262,1006.5,3,Offset 2,NA,Training 2 trial 8 throw 1,Add ,C8
263,1007,0.5,Offset 2,Throw tone,Training 2 trial 8 throw 1,Add ,C8
264,1010,3,Offset 2,NA,Training 2 trial 8 throw 2,Add ,C8
265,1010.5,0.5,Offset 2,Throw tone,Training 2 trial 8 throw 2,Add ,C8
266,1013.5,3,Offset 2,NA,Training 2 trial 8 throw 3,Add ,C8
267,1014,0.5,Offset 2,Throw tone,Training 2 trial 8 throw 3,Add ,C8
268,1029,15,Collect darts,Collect darts,Collecting darts for Training trial 8,Save ,C8
269,1032,3,Offset 2,NA,Training 2 trial 9 throw 1,Add ,C9
270,1032.5,0.5,Offset 2,Throw tone,Training 2 trial 9 throw 1,Add ,C9
271,1035.5,3,Offset 2,NA,Training 2 trial 9 throw 2,Add ,C9
272,1036,0.5,Offset 2,Throw tone,Training 2 trial 9 throw 2,Add ,C9
273,1039,3,Offset 2,NA,Training 2 trial 9 throw 3,Add ,C9
274,1039.5,0.5,Offset 2,Throw tone,Training 2 trial 9 throw 3,Add ,C9
275,1054.5,15,Collect darts,Collect darts,Collecting darts for Training trial 9,Save ,C9
276,1057.5,3,Offset 2,NA,Training 2 trial 10 throw 1,Add ,C10
277,1058,0.5,Offset 2,Throw tone,Training 2 trial 10 throw 1,Add ,C10
278,1061,3,Offset 2,NA,Training 2 trial 10 throw 2,Add ,C10
279,1061.5,0.5,Offset 2,Throw tone,Training 2 trial 10 throw 2,Add ,C10
280,1064.5,3,Offset 2,NA,Training 2 trial 10 throw 3,Add ,C10
281,1065,0.5,Offset 2,Throw tone,Training 2 trial 10 throw 3,Add ,C10
282,1080,15,Collect darts,Collect darts,Collecting darts for Training trial 10,Save ,C10
283,1083,3,Offset 2,NA,Training 2 trial 11 throw 1,Add ,C11
284,1083.5,0.5,Offset 2,Throw tone,Training 2 trial 11 throw 1,Add ,C11
285,1086.5,3,Offset 2,NA,Training 2 trial 11 throw 2,Add ,C11
286,1087,0.5,Offset 2,Throw tone,Training 2 trial 11 throw 2,Add ,C11
287,1090,3,Offset 2,NA,Training 2 trial 11 throw 3,Add ,C11
288,1090.5,0.5,Offset 2,Throw tone,Training 2 trial 11 throw 3,Add ,C11
289,1105.5,15,Collect darts,Collect darts,Collecting darts for Training trial 11,Save ,C11
290,1108.5,3,Offset 2,NA,Training 2 trial 12 throw 1,Add ,C12
291,1109,0.5,Offset 2,Throw tone,Training 2 trial 12 throw 1,Add ,C12
292,1112,3,Offset 2,NA,Training 2 trial 12 throw 2,Add ,C12
293,1112.5,0.5,Offset 2,Throw tone,Training 2 trial 12 throw 2,Add ,C12
294,1115.5,3,Offset 2,NA,Training 2 trial 12 throw 3,Add ,C12
295,1116,0.5,Offset 2,Throw tone,Training 2 trial 12 throw 3,Add ,C12
296,1131,15,Collect darts,Collect darts,Collecting darts for Training trial 12,Save ,C12
297,1134,3,Offset 2,NA,Training 2 trial 13 throw 1,Add ,C13
298,1134.5,0.5,Offset 2,Throw tone,Training 2 trial 13 throw 1,Add ,C13
299,1137.5,3,Offset 2,NA,Training 2 trial 13 throw 2,Add ,C13
300,1138,0.5,Offset 2,Throw tone,Training 2 trial 13 throw 2,Add ,C13
301,1141,3,Offset 2,NA,Training 2 trial 13 throw 3,Add ,C13
302,1141.5,0.5,Offset 2,Throw tone,Training 2 trial 13 throw 3,Add ,C13
303,1156.5,15,Collect darts,Collect darts,Collecting darts for Training trial 13,Save ,C13
304,1159.5,3,Offset 2,NA,Training 2 trial 14 throw 1,Add ,C14
305,1160,0.5,Offset 2,Throw tone,Training 2 trial 14 throw 1,Add ,C14
306,1163,3,Offset 2,NA,Training 2 trial 14 throw 2,Add ,C14
307,1163.5,0.5,Offset 2,Throw tone,Training 2 trial 14 throw 2,Add ,C14
308,1166.5,3,Offset 2,NA,Training 2 trial 14 throw 3,Add ,C14
309,1167,0.5,Offset 2,Throw tone,Training 2 trial 14 throw 3,Add ,C14
310,1182,15,Collect darts,Collect darts,Collecting darts for Training trial 14,Save ,C14
311,1185,3,Offset 2,NA,Training 2 trial 15 throw 1,Add ,C15
312,1185.5,0.5,Offset 2,Throw tone,Training 2 trial 15 throw 1,Add ,C15
313,1188.5,3,Offset 2,NA,Training 2 trial 15 throw 2,Add ,C15
314,1189,0.5,Offset 2,Throw tone,Training 2 trial 15 throw 2,Add ,C15
315,1192,3,Offset 2,NA,Training 2 trial 15 throw 3,Add ,C15
316,1192.5,0.5,Offset 2,Throw tone,Training 2 trial 15 throw 3,Add ,C15
317,1207.5,15,Collect darts,Collect darts,Collecting darts for Training trial 15,Save ,C15
318,1210.5,3,Offset 2,NA,Training 2 trial 16 throw 1,Add ,C16
319,1211,0.5,Offset 2,Throw tone,Training 2 trial 16 throw 1,Add ,C16
320,1214,3,Offset 2,NA,Training 2 trial 16 throw 2,Add ,C16
321,1214.5,0.5,Offset 2,Throw tone,Training 2 trial 16 throw 2,Add ,C16
322,1217.5,3,Offset 2,NA,Training 2 trial 16 throw 3,Add ,C16
323,1218,0.5,Offset 2,Throw tone,Training 2 trial 16 throw 3,Add ,C16
324,1233,15,Collect darts,Collect darts,Collecting darts for Training trial 16,Save ,C16
325,1236,3,Offset 2,NA,Training 2 trial 17 throw 1,Add ,C17
326,1236.5,0.5,Offset 2,Throw tone,Training 2 trial 17 throw 1,Add ,C17
327,1239.5,3,Offset 2,NA,Training 2 trial 17 throw 2,Add ,C17
328,1240,0.5,Offset 2,Throw tone,Training 2 trial 17 throw 2,Add ,C17
329,1243,3,Offset 2,NA,Training 2 trial 17 throw 3,Add ,C17
330,1243.5,0.5,Offset 2,Throw tone,Training 2 trial 17 throw 3,Add ,C17
331,1258.5,15,Collect darts,Collect darts,Collecting darts for Training trial 17,Save ,C17
332,1261.5,3,Offset 2,NA,Training 2 trial 18 throw 1,Add ,C18
333,1262,0.5,Offset 2,Throw tone,Training 2 trial 18 throw 1,Add ,C18
334,1265,3,Offset 2,NA,Training 2 trial 18 throw 2,Add ,C18
335,1265.5,0.5,Offset 2,Throw tone,Training 2 trial 18 throw 2,Add ,C18
336,1268.5,3,Offset 2,NA,Training 2 trial 18 throw 3,Add ,C18
337,1269,0.5,Offset 2,Throw tone,Training 2 trial 18 throw 3,Add ,C18
338,1284,15,Collect darts,Collect darts,Collecting darts for Training trial 18,Save ,C18
339,1287,3,Offset 2,NA,Training 2 trial 19 throw 1,Add ,C19
340,1287.5,0.5,Offset 2,Throw tone,Training 2 trial 19 throw 1,Add ,C19
341,1290.5,3,Offset 2,NA,Training 2 trial 19 throw 2,Add ,C19
342,1291,0.5,Offset 2,Throw tone,Training 2 trial 19 throw 2,Add ,C19
343,1294,3,Offset 2,NA,Training 2 trial 19 throw 3,Add ,C19
344,1294.5,0.5,Offset 2,Throw tone,Training 2 trial 19 throw 3,Add ,C19
345,1309.5,15,Collect darts,Collect darts,Collecting darts for Training trial 19,Save ,C19
346,1312.5,3,Offset 2,NA,Training 2 trial 20 throw 1,Add ,C20
347,1313,0.5,Offset 2,Throw tone,Training 2 trial 20 throw 1,Add ,C20
348,1316,3,Offset 2,NA,Training 2 trial 20 throw 2,Add ,C20
349,1316.5,0.5,Offset 2,Throw tone,Training 2 trial 20 throw 2,Add ,C20
350,1319.5,3,Offset 2,NA,Training 2 trial 20 throw 3,Add ,C20
351,1320,0.5,Offset 2,Throw tone,Training 2 trial 20 throw 3,Add ,C20
352,1335,15,Collect darts,Collect darts,Collecting darts for Training trial 20,Save ,C20
353,1355,20,Blank,Instructions 4,Instructions for Training 3,None,None
354,1358,3,Offset 3,NA,Training 3 trial 1 throw 1,Add ,D1
355,1358.5,0.5,Offset 3,Throw tone,Training 3 trial 1 throw 1,Add ,D1
356,1361.5,3,Offset 3,NA,Training 3 trial 1 throw 2,Add ,D1
357,1362,0.5,Offset 3,Throw tone,Training 3 trial 1 throw 2,Add ,D1
358,1365,3,Offset 3,NA,Training 3 trial 1 throw 3,Add ,D1
359,1365.5,0.5,Offset 3,Throw tone,Training 3 trial 1 throw 3,Add ,D1
360,1380.5,15,Collect darts,Collect darts,Collecting darts for Training trial 1,Save ,D1
361,1383.5,3,Offset 3,NA,Training 3 trial 2 throw 1,Add ,D2
362,1384,0.5,Offset 3,Throw tone,Training 3 trial 2 throw 1,Add ,D2
363,1387,3,Offset 3,NA,Training 3 trial 2 throw 2,Add ,D2
364,1387.5,0.5,Offset 3,Throw tone,Training 3 trial 2 throw 2,Add ,D2
365,1390.5,3,Offset 3,NA,Training 3 trial 2 throw 3,Add ,D2
366,1391,0.5,Offset 3,Throw tone,Training 3 trial 2 throw 3,Add ,D2
367,1406,15,Collect darts,Collect darts,Collecting darts for Training trial 2,Save ,D2
368,1409,3,Offset 3,NA,Training 3 trial 3 throw 1,Add ,D3
369,1409.5,0.5,Offset 3,Throw tone,Training 3 trial 3 throw 1,Add ,D3
370,1412.5,3,Offset 3,NA,Training 3 trial 3 throw 2,Add ,D3
371,1413,0.5,Offset 3,Throw tone,Training 3 trial 3 throw 2,Add ,D3
372,1416,3,Offset 3,NA,Training 3 trial 3 throw 3,Add ,D3
373,1416.5,0.5,Offset 3,Throw tone,Training 3 trial 3 throw 3,Add ,D3
374,1431.5,15,Collect darts,Collect darts,Collecting darts for Training trial 3,Save ,D3
375,1434.5,3,Offset 3,NA,Training 3 trial 4 throw 1,Add ,D4
376,1435,0.5,Offset 3,Throw tone,Training 3 trial 4 throw 1,Add ,D4
377,1438,3,Offset 3,NA,Training 3 trial 4 throw 2,Add ,D4
378,1438.5,0.5,Offset 3,Throw tone,Training 3 trial 4 throw 2,Add ,D4
379,1441.5,3,Offset 3,NA,Training 3 trial 4 throw 3,Add ,D4
380,1442,0.5,Offset 3,Throw tone,Training 3 trial 4 throw 3,Add ,D4
381,1457,15,Collect darts,Collect darts,Collecting darts for Training trial 4,Save ,D4
382,1460,3,Offset 3,NA,Training 3 trial 5 throw 1,Add ,D5
383,1460.5,0.5,Offset 3,Throw tone,Training 3 trial 5 throw 1,Add ,D5
384,1463.5,3,Offset 3,NA,Training 3 trial 5 throw 2,Add ,D5
385,1464,0.5,Offset 3,Throw tone,Training 3 trial 5 throw 2,Add ,D5
386,1467,3,Offset 3,NA,Training 3 trial 5 throw 3,Add ,D5
387,1467.5,0.5,Offset 3,Throw tone,Training 3 trial 5 throw 3,Add ,D5
388,1482.5,15,Collect darts,Collect darts,Collecting darts for Training trial 5,Save ,D5
389,1485.5,3,Offset 3,NA,Training 3 trial 6 throw 1,Add ,D6
390,1486,0.5,Offset 3,Throw tone,Training 3 trial 6 throw 1,Add ,D6
391,1489,3,Offset 3,NA,Training 3 trial 6 throw 2,Add ,D6
392,1489.5,0.5,Offset 3,Throw tone,Training 3 trial 6 throw 2,Add ,D6
393,1492.5,3,Offset 3,NA,Training 3 trial 6 throw 3,Add ,D6
394,1493,0.5,Offset 3,Throw tone,Training 3 trial 6 throw 3,Add ,D6
395,1508,15,Collect darts,Collect darts,Collecting darts for Training trial 6,Save ,D6
396,1511,3,Offset 3,NA,Training 3 trial 7 throw 1,Add ,D7
397,1511.5,0.5,Offset 3,Throw tone,Training 3 trial 7 throw 1,Add ,D7
398,1514.5,3,Offset 3,NA,Training 3 trial 7 throw 2,Add ,D7
399,1515,0.5,Offset 3,Throw tone,Training 3 trial 7 throw 2,Add ,D7
400,1518,3,Offset 3,NA,Training 3 trial 7 throw 3,Add ,D7
401,1518.5,0.5,Offset 3,Throw tone,Training 3 trial 7 throw 3,Add ,D7
402,1533.5,15,Collect darts,Collect darts,Collecting darts for Training trial 7,Save ,D7
403,1536.5,3,Offset 3,NA,Training 3 trial 8 throw 1,Add ,D8
404,1537,0.5,Offset 3,Throw tone,Training 3 trial 8 throw 1,Add ,D8
405,1540,3,Offset 3,NA,Training 3 trial 8 throw 2,Add ,D8
406,1540.5,0.5,Offset 3,Throw tone,Training 3 trial 8 throw 2,Add ,D8
407,1543.5,3,Offset 3,NA,Training 3 trial 8 throw 3,Add ,D8
408,1544,0.5,Offset 3,Throw tone,Training 3 trial 8 throw 3,Add ,D8
409,1559,15,Collect darts,Collect darts,Collecting darts for Training trial 8,Save ,D8
410,1562,3,Offset 3,NA,Training 3 trial 9 throw 1,Add ,D9
411,1562.5,0.5,Offset 3,Throw tone,Training 3 trial 9 throw 1,Add ,D9
412,1565.5,3,Offset 3,NA,Training 3 trial 9 throw 2,Add ,D9
413,1566,0.5,Offset 3,Throw tone,Training 3 trial 9 throw 2,Add ,D9
414,1569,3,Offset 3,NA,Training 3 trial 9 throw 3,Add ,D9
415,1569.5,0.5,Offset 3,Throw tone,Training 3 trial 9 throw 3,Add ,D9
416,1584.5,15,Collect darts,Collect darts,Collecting darts for Training trial 9,Save ,D9
417,1587.5,3,Offset 3,NA,Training 3 trial 10 throw 1,Add ,D10
418,1588,0.5,Offset 3,Throw tone,Training 3 trial 10 throw 1,Add ,D10
419,1591,3,Offset 3,NA,Training 3 trial 10 throw 2,Add ,D10
420,1591.5,0.5,Offset 3,Throw tone,Training 3 trial 10 throw 2,Add ,D10
421,1594.5,3,Offset 3,NA,Training 3 trial 10 throw 3,Add ,D10
422,1595,0.5,Offset 3,Throw tone,Training 3 trial 10 throw 3,Add ,D10
423,1610,15,Collect darts,Collect darts,Collecting darts for Training trial 10,Save ,D10
424,1613,3,Offset 3,NA,Training 3 trial 11 throw 1,Add ,D11
425,1613.5,0.5,Offset 3,Throw tone,Training 3 trial 11 throw 1,Add ,D11
426,1616.5,3,Offset 3,NA,Training 3 trial 11 throw 2,Add ,D11
427,1617,0.5,Offset 3,Throw tone,Training 3 trial 11 throw 2,Add ,D11
428,1620,3,Offset 3,NA,Training 3 trial 11 throw 3,Add ,D11
429,1620.5,0.5,Offset 3,Throw tone,Training 3 trial 11 throw 3,Add ,D11
430,1635.5,15,Collect darts,Collect darts,Collecting darts for Training trial 11,Save ,D11
431,1638.5,3,Offset 3,NA,Training 3 trial 12 throw 1,Add ,D12
432,1639,0.5,Offset 3,Throw tone,Training 3 trial 12 throw 1,Add ,D12
433,1642,3,Offset 3,NA,Training 3 trial 12 throw 2,Add ,D12
434,1642.5,0.5,Offset 3,Throw tone,Training 3 trial 12 throw 2,Add ,D12
435,1645.5,3,Offset 3,NA,Training 3 trial 12 throw 3,Add ,D12
436,1646,0.5,Offset 3,Throw tone,Training 3 trial 12 throw 3,Add ,D12
437,1661,15,Collect darts,Collect darts,Collecting darts for Training trial 12,Save ,D12
438,1664,3,Offset 3,NA,Training 3 trial 13 throw 1,Add ,D13
439,1664.5,0.5,Offset 3,Throw tone,Training 3 trial 13 throw 1,Add ,D13
440,1667.5,3,Offset 3,NA,Training 3 trial 13 throw 2,Add ,D13
441,1668,0.5,Offset 3,Throw tone,Training 3 trial 13 throw 2,Add ,D13
442,1671,3,Offset 3,NA,Training 3 trial 13 throw 3,Add ,D13
443,1671.5,0.5,Offset 3,Throw tone,Training 3 trial 13 throw 3,Add ,D13
444,1686.5,15,Collect darts,Collect darts,Collecting darts for Training trial 13,Save ,D13
445,1689.5,3,Offset 3,NA,Training 3 trial 14 throw 1,Add ,D14
