Instruction #,End time,Duration,Display image id,audio id,Operator text, State,Location
464,1748,0.5,Offset 3,Throw tone,Training 3 trial 16 throw 3,Add ,D16
465,1763,15,Collect darts,Collect darts,Collecting darts for Training trial 16,Save ,D16
466,1766,3,Offset 3,NA,Training 3 trial 17 throw 1,Add ,D17
467,1766.5,0.5,Offset 3,Throw tone,Training 3 trial 17 throw 1,Add ,D17
468,1769.5,3,Offset 3,NA,Training 3 trial 17 throw 2,Add ,D17
469,1770,0.5,Offset 3,Throw tone,Training 3 trial 17 throw 2,Add ,D17
470,1773,3,Offset 3,NA,Training 3 trial 17 throw 3,Add ,D17
471,1773.5,0.5,Offset 3,Throw tone,Training 3 trial 17 throw 3,Add ,D17
472,1788.5,15,Collect darts,Collect darts,Collecting darts for Training trial 17,Save ,D17
473,1791.5,3,Offset 3,NA,Training 3 trial 18 throw 1,Add ,D18
474,1792,0.5,Offset 3,Throw tone,Training 3 trial 18 throw 1,Add ,D18
475,1795,3,Offset 3,NA,Training 3 trial 18 throw 2,Add ,D18
476,1795.5,0.5,Offset 3,Throw tone,Training 3 trial 18 throw 2,Add ,D18
477,1798.5,3,Offset 3,NA,Training 3 trial 18 throw 3,Add ,D18
478,1799,0.5,Offset 3,Throw tone,Training 3 trial 18 throw 3,Add ,D18
479,1814,15,Collect darts,Collect darts,Collecting darts for Training trial 18,Save ,D18
480,1817,3,Offset 3,NA,Training 3 trial 19 throw 1,Add ,D19
481,1817.5,0.5,Offset 3,Throw tone,Training 3 trial 19 throw 1,Add ,D19
482,1820.5,3,Offset 3,NA,Training 3 trial 19 throw 2,Add ,D19
483,1821,0.5,Offset 3,Throw tone,Training 3 trial 19 throw 2,Add ,D19
484,1824,3,Offset 3,NA,Training 3 trial 19 throw 3,Add ,D19
485,1824.5,0.5,Offset 3,Throw tone,Training 3 trial 19 throw 3,Add ,D19
486,1839.5,15,Collect darts,Collect darts,Collecting darts for Training trial 19,Save ,D19
487,1842.5,3,Offset 3,NA,Training 3 trial 20 throw 1,Add ,D20
488,1843,0.5,Offset 3,Throw tone,Training 3 trial 20 throw 1,Add ,D20
489,1846,3,Offset 3,NA,Training 3 trial 20 throw 2,Add ,D20
490,1846.5,0.5,Offset 3,Throw tone,Training 3 trial 20 throw 2,Add ,D20
491,1849.5,3,Offset 3,NA,Training 3 trial 20 throw 3,Add ,D20
492,1850,0.5,Offset 3,Throw tone,Training 3 trial 20 throw 3,Add ,D20
493,1865,15,Collect darts,Collect darts,Collecting darts for Training trial 20,Save ,D20
494,1885,20,Blank,Instructions 5,Instructions for Evaluation Trials,None,None
495,1888,3,Bullseye 1,NA,Evaluation trial 1 throw 1,Add ,E1
496,1888.5,0.5,Bullseye 1,Throw tone,Evaluation trial 1 throw 1,Add ,E1
497,1891.5,3,Bullseye 1,NA,Evaluation trial 1 throw 2,Add ,E1
498,1892,0.5,Bullseye 1,Throw tone,Evaluation trial 1 throw 2,Add ,E1
499,1895,3,Bullseye 1,NA,Evaluation trial 1 throw 3,Add ,E1
500,1895.5,0.5,Bullseye 1,Throw tone,Evaluation trial 1 throw 3,Add ,E1
501,1910.5,15,Collect darts,Collect darts,Collecting darts for Evaluation trial 1,Save ,E1
502,1913.5,3,Bullseye 1,NA,Evaluation trial 2 throw 1,Add ,E2
503,1914,0.5,Bullseye 1,Throw tone,Evaluation trial 2 throw 1,Add ,E2
504,1917,3,Bullseye 1,NA,Evaluation trial 2 throw 2,Add ,E2
505,1917.5,0.5,Bullseye 1,Throw tone,Evaluation trial 2 throw 2,Add ,E2
506,1920.5,3,Bullseye 1,NA,Evaluation trial 2 throw 3,Add ,E2
507,1921,0.5,Bullseye 1,Throw tone,Evaluation trial 2 throw 3,Add ,E2
508,1936,15,Collect darts,Collect darts,Collecting darts for Evaluation trial 2,Save ,E2
509,1939,3,Bullseye 1,NA,Evaluation trial 3 throw 1,Add ,E3
510,1939.5,0.5,Bullseye 1,Throw tone,Evaluation trial 3 throw 1,Add ,E3
511,1942.5,3,Bullseye 1,NA,Evaluation trial 3 throw 2,Add ,E3
512,1943,0.5,Bullseye 1,Throw tone,Evaluation trial 3 throw 2,Add ,E3
513,1946,3,Bullseye 1,NA,Evaluation trial 3 throw 3,Add ,E3
514,1946.5,0.5,Bullseye 1,Throw tone,Evaluation trial 3 throw 3,Add ,E3
515,1961.5,15,Collect darts,Collect darts,Collecting darts for Evaluation trial 3,Save ,E3
516,1964.5,3,Bullseye 1,NA,Evaluation trial 4 throw 1,Add ,E4
517,1965,0.5,Bullseye 1,Throw tone,Evaluation trial 4 throw 1,Add ,E4
518,1968,3,Bullseye 1,NA,Evaluation trial 4 throw 2,Add ,E4
519,1968.5,0.5,Bullseye 1,Throw tone,Evaluation trial 4 throw 2,Add ,E4
520,1971.5,3,Bullseye 1,NA,Evaluation trial 4 throw 3,Add ,E4
521,1972,0.5,Bullseye 1,Throw tone,Evaluation trial 4 throw 3,Add ,E4
522,1987,15,Collect darts,Collect darts,Collecting darts for Evaluation trial 4,Save ,E4
523,1990,3,Bullseye 1,NA,Evaluation trial 5 throw 1,Add ,E5
524,1990.5,0.5,Bullseye 1,Throw tone,Evaluation trial 5 throw 1,Add ,E5
525,1993.5,3,Bullseye 1,NA,Evaluation trial 5 throw 2,Add ,E5
526,1994,0.5,Bullseye 1,Throw tone,Evaluation trial 5 throw 2,Add ,E5
527,1997,3,Bullseye 1,NA,Evaluation trial 5 throw 3,Add ,E5
528,1997.5,0.5,Bullseye 1,Throw tone,Evaluation trial 5 throw 3,Add ,E5
529,2012.5,15,Collect darts,Collect darts,Collecting darts for Evaluation trial 5,Save ,E5
530,2015.5,3,Bullseye 1,NA,Evaluation trial 6 throw 1,Add ,E6
531,2016,0.5,Bullseye 1,Throw tone,Evaluation trial 6 throw 1,Add ,E6
532,2019,3,Bullseye 1,NA,Evaluation trial 6 throw 2,Add ,E6
533,2019.5,0.5,Bullseye 1,Throw tone,Evaluation trial 6 throw 2,Add ,E6
534,2022.5,3,Bullseye 1,NA,Evaluation trial 6 throw 3,Add ,E6
535,2023,0.5,Bullseye 1,Throw tone,Evaluation trial 6 throw 3,Add ,E6
536,2038,15,Collect darts,Collect darts,Collecting darts for Evaluation trial 6,Save ,E6
537,2041,3,Bullseye 1,NA,Evaluation trial 7 throw 1,Add ,E7
538,2041.5,0.5,Bullseye 1,Throw tone,Evaluation trial 7 throw 1,Add ,E7
539,2044.5,3,Bullseye 1,NA,Evaluation trial 7 throw 2,Add ,E7
540,2045,0.5,Bullseye 1,Throw tone,Evaluation trial 7 throw 2,Add ,E7
541,2048,3,Bullseye 1,NA,Evaluation trial 7 throw 3,Add ,E7
542,2048.5,0.5,Bullseye 1,Throw tone,Evaluation trial 7 throw 3,Add ,E7
543,2063.5,15,Collect darts,Collect darts,Collecting darts for Evaluation trial 7,Save ,E7
544,2066.5,3,Bullseye 1,NA,Evaluation trial 8 throw 1,Add ,E8
545,2067,0.5,Bullseye 1,Throw tone,Evaluation trial 8 throw 1,Add ,E8
546,2070,3,Bullseye 1,NA,Evaluation trial 8 throw 2,Add ,E8
547,2070.5,0.5,Bullseye 1,Throw tone,Evaluation trial 8 throw 2,Add ,E8
548,2073.5,3,Bullseye 1,NA,Evaluation trial 8 throw 3,Add ,E8
549,2074,0.5,Bullseye 1,Throw tone,Evaluation trial 8 throw 3,Add ,E8
550,2089,15,Collect darts,Collect darts,Collecting darts for Evaluation trial 8,Save ,E8
551,2092,3,Bullseye 1,NA,Evaluation trial 9 throw 1,Add ,E9
552,2092.5,0.5,Bullseye 1,Throw tone,Evaluation trial 9 throw 1,Add ,E9
553,2095.5,3,Bullseye 1,NA,Evaluation trial 9 throw 2,Add ,E9
554,2096,0.5,Bullseye 1,Throw tone,Evaluation trial 9 throw 2,Add ,E9
555,2099,3,Bullseye 1,NA,Evaluation trial 9 throw 3,Add ,E9
556,2099.5,0.5,Bullseye 1,Throw tone,Evaluation trial 9 throw 3,Add ,E9
557,2114.5,15,Collect darts,Collect darts,Collecting darts for Evaluation trial 9,Save ,E9
558,2117.5,3,Bullseye 1,NA,Evaluation trial 10 throw 1,Add ,E10
559,2118,0.5,Bullseye 1,Throw tone,Evaluation trial 10 throw 1,Add ,E10
560,2121,3,Bullseye 1,NA,Evaluation trial 10 throw 2,Add ,E10
561,2121.5,0.5,Bullseye 1,Throw tone,Evaluation trial 10 throw 2,Add ,E10
562,2124.5,3,Bullseye 1,NA,Evaluation trial 10 throw 3,Add ,E10
563,2125,0.5,Bullseye 1,Throw tone,Evaluation trial 10 throw 3,Add ,E10
564,2140,15,Collect darts,Collect darts,Collecting darts for Evaluation trial 10,Save ,E10
565,2150,10,Blank,Instructions 6,Experiment Finished,End,None
